Trait_name_unique,Nsnp,Nsnp_nonmissing,Mean_chisq,lambdaGC,Max_chisq,Nsnp_GWS
CAD.Aragam2022,1217311,1205246,1.744,1.407,1269.423,3601
MI.Schunkert2011,1217311,976441,1.143,1.104,131.172,75
AnyStroke.Mishra2022,1217311,1182452,1.227,1.186,84.276,163
AIS.Mishra2022,1217311,1181635,1.229,1.19,82.213,183
LAS.Mishra2022,1217311,1110078,1.115,1.113,37.584,3
CES.Mishra2022,1217311,1161697,1.137,1.115,209.461,66
SVS.Mishra2022,1217311,1123143,1.11,1.099,28.927,0
lStroke.Traylor2021,1217311,1153663,1.101,1.086,37.961,16
IH.Woo2014,1217311,997442,1.037,1.04,24.557,0
aSAH.Bakker2020,1217311,923129,1.046,1.045,69.796,40
IA.Bakker2020,1217311,923255,1.072,1.049,93.314,113
PAD.Klarin2019,1217311,1155622,1.186,1.154,109.197,127
AAA.Zhou2022,1217311,975472,1.123,1.103,125.334,62
AAA.Klarin2020,1217311,1199813,1.104,1.093,90.741,51
TAA.Roychowdhury2023,1217311,1211113,0.997,0.994,36.909,15
AF.Nielsen2018,1217311,1215064,1.502,1.285,1032.178,2184
HF.Shah2020,1217311,1151077,1.158,1.127,83.706,66
cPlaque.Francheschini2018,1217311,1161185,1.039,1.031,45.966,24
cIMT.Francheschini2018.CHARGE,1217311,1167420,1.103,1.082,59.877,58
cIMT.Strawbridge2021.UKBB,1217311,1192807,1.067,1.048,55.367,22
CAC.Kavousi2023,1217311,1169041,1.116,1.096,196.654,81
AAC.Sethi2022,1217311,1192787,1.044,1.048,52.905,12
WMD_WMH.Persyn2020,1217311,1181666,1.096,1.085,75.738,53
WMD_MD.Persyn2020,1217311,1181717,1.111,1.079,148.129,43
WMD_FA.Persyn2020,1217311,1181734,1.126,1.112,105.684,72
CM_any.Knol2020,1217311,1140805,1.018,1.022,28.428,0
CM_deep.Knol2020,1217311,1033618,1.008,1.008,22.954,0
CM_lobar.Knol2020,1217311,1115093,1.018,1.011,24.743,0
PS.Duperron2023,1217311,1182400,1.066,1.037,104.049,120
T2D.Suzuki2024,1217311,1196481,3.161,2.143,1424.989,13664
HbA1c.Chen2021.MAGIC,1217311,1182401,1.319,1.134,1083.121,1564
randomG.Lagou2023,1217311,1171083,1.505,1.26,1373.873,1646
FG.Chen2021,1217311,1186420,1.324,1.139,1424.989,1411
FI.Chen2021,1217311,1188037,1.224,1.155,169.73,482
Glu2h.Chen2021,1217311,1186373,1.086,1.064,112.488,149
SBP.Keaton2024,1217311,1181421,3.55,2.245,676.781,19818
DBP.Keaton2024,1217311,1181585,3.452,2.162,827.041,18944
PP.Keaton2024,1217311,1181415,3.233,2.054,955.687,17141
BMI.Pulit2018,1217311,1095137,3.886,2.668,1424.989,19227
WHR.Pulit2018,1217311,1088792,2.584,1.802,775.374,9845
SmokeInit.Saunders2022,1217311,1205327,2.407,1.952,291.477,5515
SmokeStartAge.Saunders2022,1217311,1202189,1.336,1.282,58.464,132
CigarPerDay.Saunders2022,1217311,1202669,1.563,1.409,1410.474,760
SmokeCess.Saunders2022,1217311,1205649,1.41,1.334,178.264,324
LDLc.Graham2021,1217311,1209693,3.049,1.531,1424.989,14754
nonHDLc.Graham2021,1217311,1203812,2.876,1.524,1424.989,12927
HDLc.Graham2021,1217311,1210263,3.955,2.103,1424.989,19484
TG.Graham2021,1217311,1209598,3.488,1.952,1424.989,17800
lipoA.Sinnott2021,1217311,1039087,1.187,1.035,1424.989,559
ApolipoB.Sinnott2021,1217311,1039242,2.222,1.452,1397.598,6691
ApolipoA.Sinnott2021,1217311,1039271,2.267,1.607,1424.989,5712
eGFR_creatinine.Wuttke2019,1217311,1185162,1.874,1.392,599.366,4811
BUN.Wuttke2019,1217311,1176452,1.324,1.204,329.364,1040
UACR.Teumer2019,1217311,1192629,1.405,1.284,361.685,730
MetS.Park2024,1217311,991894,4.258,2.901,1025.232,20578
